"","clust","label","nsnp","min_p","fisher"
"39",7,"age of smoking initiation",4,0.0003897,0.00177213803227907
"40",23,"serum creatinine egfrcrea",3,0.00035,0.00187933806927282
"41",10,"eczema",5,6.89e-06,0.00203091985957634
"42",26,"crohns disease",3,0.0002207,0.00205668703958313
"43",3,"chronotype",4,0.0065,0.00226180654865719
"44",4,"inflammatory bowel disease",3,0.002405,0.00245701505218742
"45",2,"mean platelet volume",15,0.002188,0.00246742934534889
"46",7,"obesity class 3",4,0.013,0.00246889900144196
"47",2,"celiac disease",3,0.0001127,0.00252173769568601
"48",2,"narcolepsy",4,0.006501,0.00286107866852561
"49",10,"birth weight",5,0.0028,0.00308223554790379
"50",7,"years of schooling",5,0.001983,0.00317981890315734
"51",7,"waist circumference",4,0.0054,0.00375898385577241
"52",2,"schizophrenia",25,0.001421,0.0038221430646241
"53",14,"gout",3,0.000905406588836748,0.00412394013905897
"54",12,"lung adenocarcinoma",3,0.007428,0.00499617759204204
"55",7,"symbol search",4,0.000896955373452934,0.00520790910437005
"56",7,"infant head circumference",4,0.0003333,0.00533657536186749
"57",2,"body mass index",15,0.01656,0.00588130705850689
"58",5,"alzheimers disease",3,0.01185,0.00607887377803843
"59",11,"myocardial infarction",3,0.00635175536826537,0.00611631109816057
"60",17,"schizophrenia",4,0.0009434,0.006180675025816
"61",14,"zinc",3,0.015,0.00643340333256541
"62",6,"inflammatory bowel disease",5,0.005207,0.00691891838034374
"63",38,"schizophrenia",3,0.01377,0.00711635904079149
"64",1,"body fat",6,0.03176,0.00713409409952304
"65",17,"coronary heart disease",4,0.0042116,0.00722617764988686
"66",14,"urate",3,0.0265598226900971,0.00770362442491153
"67",7,"hip circumference",4,0.022,0.00844519655660532
"68",14,"copper",3,0.024,0.00875343516471387
"69",179,"crohns disease",3,0.0007211,0.00883113162068863
"70",179,"inflammatory bowel disease",3,0.0008653,0.0089408987841518
"71",2,"packed cell volume",15,0.002217,0.00898985524551752
"72",26,"schizophrenia",3,0.001827,0.00910462926195494
"73",5,"crohns disease",4,0.006461,0.00939894440363565
"74",14,"packed cell volume",3,0.02255,0.00951967515609311
"75",1,"age at menopause",5,0.0065,0.00968383722467873
"76",20,"height",3,0.024,0.00998819677971859
"77",2,"myocardial infarction",25,0.0093249434311398,0.0101065773713936
"78",18,"years of schooling",3,0.02635,0.0102089110499792
"79",10,"packed cell volume",3,0.0006643,0.0103093064414588
"80",10,"fasting glucose",3,0.001775,0.0104444583509714
"81",10,"haemoglobin concentration",3,0.0005373,0.0108467832973658
"82",2,"chronotype",25,0.016,0.0111555528365109
"83",18,"putamen volume",3,0.008915,0.0115451725708588
"84",5,"myocardial infarction",4,0.000579713761516748,0.0116511763353224
"85",1,"mean cell haemoglobin",5,0.0006667,0.0120604646266853
"86",5,"caudate volume",3,0.00134,0.0123507574834502
"87",11,"amyotrophic lateral sclerosis",3,0.00881241496819661,0.0129909333085834
"88",6,"birth weight",6,8e-05,0.0132780313680171
"89",26,"ulcerative colitis",3,0.008521,0.013982485619896
"90",26,"birth weight",3,0.017,0.0139855806670155
"91",18,"schizophrenia",3,0.0007586,0.0140793876283072
"92",23,"schizophrenia",4,0.005068,0.0144984740165699
"93",14,"eczema",4,0.002959,0.0145619988011768
"94",7,"obesity class 2",4,0.004,0.0154417101924995
"95",5,"schizophrenia",4,0.0006112,0.0155322450888468
"96",23,"hdl cholesterol",3,0.002906,0.0156611893055956
"97",10,"extreme waisttohip ratio",3,0.0033,0.0161939139709958
"98",10,"red blood cell count",3,0.001357,0.0175625686180751
"99",10,"nucleus accumbens volume",4,0.04315,0.0180982358090739
"100",7,"leptin",4,0.008529,0.0188287883707716
"101",14,"urinary albumintocreatinine ratio",3,0.0032,0.0189146257834904
"102",1,"crohns disease",7,0.005511,0.0190498988098882
"103",7,"obesity class 1",4,0.0058,0.0191100028419285
"104",2,"waisttohip ratio",15,0.0013,0.0194570444348922
"105",7,"hippocampus volume",5,0.02384,0.0200194370170461
"106",7,"transferrin",4,0.02116,0.0203209728694808
"107",10,"thalamus volume",4,0.01777,0.0204135875374137
"108",179,"alzheimers disease",3,0.02335,0.0213261727830942
"109",23,"age of smoking initiation",3,0.003394,0.0218242555735663
"110",2,"coronary heart disease",25,0.0047301,0.021975315916301
"111",23,"type 2 diabetes",3,0.0087,0.0222839792213988
"112",1,"eczema",7,0.004197,0.0234260576937948
"113",140,"schizophrenia",3,0.009954,0.0240831179921535
"114",12,"putamen volume",3,0.003836,0.0243496358176436
"115",5,"lumbar spine bone mineral density",4,0.001366,0.0246179624579257
"116",179,"parents age at death",3,0.011,0.0247997967226646
"117",2,"squamous cell lung cancer",25,0.005436,0.0251093037670412
"118",12,"sitting height ratio",3,0.08,0.0256137026682236
"119",2,"alzheimers disease",25,1.049e-05,0.0257610493419871
"120",20,"body mass index",3,0.001401,0.0258385706091771
"121",140,"birth weight",3,0.011,0.0258796383258254
"122",2,"childhood obesity",15,0.0004225,0.0260591902442575
"123",23,"total cholesterol",3,0.002081,0.0263387318986531
"124",10,"rheumatoid arthritis",4,0.018,0.0276294571520109
"125",20,"obesity class 1",3,0.0023,0.0278997287958666
"126",1,"waist circumference",5,0.035,0.0279356166709987
"127",7,"mothers age at death",5,0.0062,0.0281824277299095
"128",2,"birth weight",25,0.0046,0.0291128351953366
"129",12,"pallidum volume",3,0.04952,0.0308565245610016
"130",11,"coronary heart disease",3,0.041234,0.0310358295321655
"131",1,"mean cell volume",5,0.00208,0.0311655601665667
"132",11,"neuroticism",3,0.006777,0.0315173072922035
"133",3,"crohns disease",4,0.01479,0.0315727951244899
"134",14,"pagets disease",3,0.0132607669471992,0.0342542948431921
"135",5,"chronotype",5,0.018,0.0345246485171638
"136",140,"sleep duration",3,0.0048,0.0350531864437711
"137",2,"lung cancer",25,0.004561,0.0352156785974985
"138",1,"mean cell haemoglobin concentration",5,0.01107,0.0352238489714677
"139",6,"sitting height ratio",6,0.0038,0.0356959863013295
"140",14,"cigarettes smoked per day",3,0.006356,0.0359152982180261
"141",16,"mothers age at death",3,0.022,0.0361376018856569
"142",20,"ever vs never smoked",3,0.007545,0.0376603048816656
"143",20,"difference in height between childhood and adulthood",3,0.0237915706441733,0.0376808587921152
"144",1,"ever vs never smoked",5,0.00924,0.0379607490631634
"145",6,"crohns disease",5,0.01803,0.0380694768713709
"146",1,"4choice reaction time",5,0.02106,0.0390679112797077
"147",3,"lung adenocarcinoma",4,0.033515,0.0399979496520982
"148",5,"systemic lupus erythematosus",4,0.0205673,0.0402634794739557
"149",17,"sleep duration",4,0.051,0.0402701753294342
"150",14,"corrected insulin response",3,0.007434,0.0403874544080553
"151",2,"sleep duration",25,0.0084,0.0406283199955317
"152",2,"systemic lupus erythematosus",25,0.00483402,0.0409818440943601
"153",179,"mothers age at death",3,0.019,0.0409974506377996
"154",20,"leptin",3,0.006723,0.0410421053831359
"155",10,"cigarettes smoked per day",3,0.02985,0.0410723065911447
"156",179,"fathers age at death",3,0.0085,0.0416484111709298
"157",1,"triglycerides",5,0.00103,0.0418125101923825
"158",10,"college completion",3,0.0152,0.0419562559841421
"159",10,"heart rate",3,0.04227,0.0421138419563332
"160",2,"fasting glucose",15,0.0004017,0.043269374566437
"161",5,"years of schooling",4,0.03667,0.0436329423138444
"162",26,"eczema",3,0.009426,0.0444022817211174
"163",11,"forearm bone mineral density",3,0.022486,0.0445015963040475
"164",23,"hip circumference",3,0.024,0.0459147211738715
"165",9,"nucleus accumbens volume",3,0.009123,0.0463475080981351
"166",12,"years of schooling",3,0.0288,0.0465578663198435
"167",14,"haemoglobin concentration",3,0.05165,0.0469646229391441
"168",14,"serum cystatin c egfrcys",3,0.018,0.0471290347075221
"169",2,"eczema",25,0.013274,0.0475317025235686
"170",16,"birth weight",3,0.012,0.0479190835808688
"171",23,"lung cancer",4,0.0227,0.0479276146898348
"172",14,"depressive symptoms",4,0.01556,0.0484306517882215
"173",10,"body mass index",3,0.003061,0.0503223751403624
"174",2,"mean cell haemoglobin concentration",15,0.007714,0.0509448651929388
"175",14,"fasting glucose",3,0.002685,0.0517079219618324
"176",20,"overweight",3,0.015,0.0539356025292598
"177",23,"hba1c",3,0.04647,0.0545778689949663
"178",14,"birth weight",4,0.05,0.0545960688775848
"179",2,"psoriasis",4,0.03332712007,0.0562169990260961
"180",3,"depressive symptoms",4,0.02707,0.0568691984421909
"181",7,"age at menarche",4,0.019,0.0606794439756878
"182",11,"schizophrenia",3,0.057,0.0616054658574785
"183",7,"lumbar spine bone mineral density",5,0.018242,0.0621680929048751
"184",179,"sitting height ratio",3,0.01,0.0625480129567657
"185",10,"ulcerative colitis",5,0.004095,0.0627891692222506
"186",20,"pallidum volume",3,0.04183,0.0628903052046972
"187",12,"birth weight",3,0.012,0.0634803464672302
"188",10,"corrected insulin response",3,0.053271,0.0637100388622566
"189",6,"years of schooling",5,0.01758,0.0639185244786332
"190",2,"extreme body mass index",14,0.054,0.064753995746681
"191",4,"depressive symptoms",3,0.07887,0.067061142942389
"192",2,"sitting height ratio",25,0.01,0.0676593493366689
"193",20,"ferritin",3,0.069,0.07034662664627
"194",14,"triglycerides",3,0.1295,0.0707875646309511
"195",14,"internalizing problems",3,0.01674,0.0712126832888503
"196",1,"age of smoking initiation",5,0.0394,0.0725954677723416
"197",23,"waist circumference",3,0.027,0.0728977953816847
"198",10,"urinary albumintocreatinine ratio",3,0.015,0.0733819285985486
"199",10,"gout",3,0.011598407010364,0.0735278997581597
"200",9,"top 1  survival",3,0.042,0.0739737434168286
"201",14,"amyotrophic lateral sclerosis",4,0.0194350948326723,0.0769510364598469
"202",26,"neuroticism",3,0.03906,0.0777418709014336
"203",9,"sitting height ratio",3,0.011,0.0784476816377324
"204",26,"lumbar spine bone mineral density",3,0.111341,0.0785267408874571
"205",20,"alzheimers disease",3,0.01509,0.0786244128895616
"206",1,"8choice reaction time",5,0.0138,0.0801418788888739
"207",20,"waist circumference",3,0.011,0.0802756551856983
"208",2,"depressive symptoms",25,0.005711,0.0809736747085842
"209",20,"age at menarche",3,0.0046,0.0810715249384822
"210",7,"waisttohip ratio",4,0.0041,0.0814344302168006
"211",140,"top 1  survival",3,0.017,0.0827022691964452
"212",10,"triglycerides",3,0.1249,0.0827770300406284
"213",2,"waist circumference",15,0.0041,0.083790398478308
"214",9,"amyotrophic lateral sclerosis",3,0.00953701991326784,0.084107378365114
"215",10,"neoconscientiousness",3,0.04358,0.0845423462670026
"216",23,"body fat",3,0.0463,0.0850518126563764
"217",10,"inflammatory bowel disease",5,0.008836,0.0854329388159771
"218",1,"microalbuminuria",4,0.082,0.085598081569876
"219",2,"urinary albumintocreatinine ratio",15,0.0031,0.0859251059764091
"220",17,"myocardial infarction",4,0.00444979993835697,0.0859577772270474
"221",7,"crohns disease",5,0.001961,0.0870370139444988
"222",2,"serum cystatin c egfrcys",15,0.0019,0.087259073037783
"223",10,"inspection time",3,0.01381,0.087307693987585
"224",179,"eczema",3,0.016798,0.0877537358021856
"225",10,"serum cystatin c egfrcys",3,0.028,0.0879710308249263
"226",2,"urate",15,0.00779800660832254,0.088228966268563
"227",7,"sitting height ratio",5,0.017,0.0882382461085146
"228",5,"birth weight",5,0.061,0.0888932043117072
"229",10,"obesity class 2",3,0.021,0.090111924798843
"230",2,"total cholesterol",15,0.02313,0.0901668555809582
"231",6,"neuroticism",5,0.01973,0.0904637723101057
"232",5,"femoral neck bone mineral density",4,0.040714,0.0910623950574116
"233",14,"squamous cell lung cancer",4,0.077104,0.0916905068064991
"234",5,"parents age at death",5,0.011,0.0925816334315523
"235",2,"ferritin",14,0.003185,0.0943521208528287
"236",12,"crohns disease",3,0.1134,0.0944271737126663
"237",23,"birth weight",4,0.066,0.0947511708463524
"238",7,"extreme waisttohip ratio",4,0.0033,0.0948806352447868
"239",11,"depressive symptoms",3,0.1081,0.0950685336162939
"240",12,"mothers age at death",3,0.0056,0.0956104903444773
"241",14,"leptin",3,0.04074,0.0956518632077171
"242",2,"pgc crossdisorder traits",8,0.005847,0.0957242156130942
"243",2,"hip circumference",15,0.0049,0.0960889372238717
"244",20,"neuroticism",3,0.01271,0.0968618590375926
"245",3,"inflammatory bowel disease",4,0.04499,0.0975276083166095
"246",1,"fasting proinsulin",5,0.05312,0.09862105436207
"247",1,"hippocampus volume",7,0.005666,0.0994655520330823
"248",11,"intracranial volume",3,0.059,0.0995748055430743
"249",18,"forearm bone mineral density",3,0.039164,0.0996333245027648
"250",2,"fathers age at death",25,0.017,0.100021822256837
"251",13,"birth weight",3,0.026,0.102143019956775
"252",7,"gout",4,0.0637768840885174,0.102554504372645
"253",4,"neuroticism",3,0.07904,0.104129518032346
"254",10,"type 2 diabetes",4,0.076,0.104466281154569
"255",14,"ferritin",3,0.03429,0.104655657042563
"256",23,"neoconscientiousness",3,0.04361,0.105379456376593
"257",2,"difference in height between childhood and adulthood",15,0.00971011815224633,0.105981276230833
"258",23,"body mass index",3,0.02995,0.106321767547812
"259",7,"microalbuminuria",4,0.0039,0.106878451772614
"260",18,"neuroticism",3,0.03602,0.107177503041187
"261",20,"extreme body mass index",3,0.093,0.109642411445934
"262",10,"digit symbol",3,0.1224,0.109794299721027
"263",14,"ulcerative colitis",4,0.07471,0.109824020562424
"264",14,"2hr glucose",3,0.02526,0.110322169663658
"265",10,"microalbuminuria",3,0.013,0.111275075768686
"266",7,"birth length",4,0.1508,0.111337523474386
"267",10,"sleep duration",5,0.033,0.111613280976902
"268",14,"hdl cholesterol",3,0.149,0.112176927951024
"269",1,"subjective well being",5,0.01114,0.112556497186559
"270",10,"schizophrenia",5,0.07715,0.112660821100406
"271",2,"copper",15,0.028,0.113740040825492
"272",23,"urate",3,0.0107784298188631,0.114457918401717
"273",7,"nucleus accumbens volume",5,0.04835,0.116297914027299
"274",10,"major depressive disorder",3,0.07185,0.116857381915518
"275",7,"sleep duration",5,0.019,0.11844220487026
"276",10,"hippocampus volume",4,0.07193,0.11920047202231
"277",3,"alzheimers disease",4,0.1183,0.119340246690652
"278",5,"amygdala volume",3,0.01002,0.120635162090758
"279",17,"amyotrophic lateral sclerosis",4,0.0277319038627947,0.12113549031575
"280",140,"coronary heart disease",3,0.0368444,0.121508706571284
"281",3,"lumbar spine bone mineral density",4,0.066305,0.122957643140366
"282",23,"age at menarche",3,0.14,0.123725644167952
"283",23,"homair",3,0.09101,0.124208597950816
"284",12,"nucleus accumbens volume",3,0.02133,0.124319076646651
"285",20,"4choice reaction time",3,0.07983,0.124616257255036
"286",7,"red blood cell count",4,0.04752,0.12512324950908
"287",10,"total cholesterol",3,0.01983,0.125316943568518
"288",2,"extreme height",14,0.011,0.125415198411406
"289",5,"pallidum volume",3,0.1157,0.125479022502535
"290",20,"mean platelet volume",3,0.1088,0.125903228471257
"291",2,"ever vs never smoked",15,0.004686,0.129926213246039
"292",10,"overweight",3,0.064,0.130116763107901
"293",20,"sitting height ratio",3,0.063,0.130897548126216
"294",4,"myocardial infarction",3,0.0495100583004632,0.133235578173352
"295",2,"lumbar spine bone mineral density",23,0.008262,0.134062318793901
"296",3,"putamen volume",3,0.0777,0.134448516702232
"297",20,"ldl cholesterol",3,0.02481,0.134793834920416
"298",1,"plasma cortisol",6,0.061627,0.134895947617126
"299",14,"extreme height",3,0.029,0.135830851660515
"300",179,"top 1  survival",3,0.02,0.135830851660515
"301",2,"alcohol dependence",8,0.00245069,0.136709705993381
"302",1,"systemic lupus erythematosus",7,0.0113401,0.137574082540918
"303",10,"forearm bone mineral density",5,0.056463,0.137863420793845
"304",9,"parents age at death",3,0.096,0.137928928216559
"305",4,"years of schooling",3,0.06248,0.138434918577983
"306",18,"nucleus accumbens volume",3,0.07416,0.138616860990119
"307",10,"plasma cortisol",4,0.131084,0.138834722689477
"308",17,"parents age at death",4,0.099,0.13919139275367
"309",2,"corrected insulin response",15,0.050601,0.139977403604846
"310",23,"age at menopause",3,0.12,0.140621735628458
"311",38,"coronary heart disease",3,0.0921609,0.140666995682544
"312",14,"microalbuminuria",3,0.035,0.140865579139702
"313",7,"body fat",4,0.01995,0.142405137783036
"314",20,"obesity class 3",3,0.029,0.142678026543866
"315",2,"microalbuminuria",15,0.015,0.143142550305372
"316",10,"4choice reaction time",3,0.0439,0.144008125237207
"317",14,"obesity class 3",3,0.03,0.144080590911005
"318",23,"ldl cholesterol",3,0.05181,0.144746136787593
"319",1,"alzheimers disease",6,0.00519,0.146501782084912
"320",26,"systemic lupus erythematosus",3,0.0517843,0.147716981827765
"321",14,"nucleus accumbens volume",3,0.1678,0.147767902863071
"322",10,"infant head circumference",3,0.1098,0.148033735669373
"323",18,"birth weight",3,0.14,0.148769706238665
"324",9,"fathers age at death",3,0.12,0.150044445329545
"325",14,"college completion",3,0.1661,0.15018138815524
"326",23,"neuroticism",4,0.005557,0.150687228292328
"327",7,"urate",4,0.102112108080272,0.151012703034237
"328",20,"adiponectin",3,0.0299417,0.151662124473039
"329",7,"ever vs never smoked",4,0.0921,0.152214372728297
"330",14,"mean platelet volume",3,0.06885,0.152539690403048
"331",179,"caudate volume",3,0.026,0.152675508532641
"332",10,"hba1c",3,0.06093,0.152929665358263
"333",38,"years of schooling",3,0.03918,0.15376050695079
"334",20,"extreme waisttohip ratio",3,0.05,0.153783767747989
"335",1,"extreme height",4,0.043,0.15389961102559
"336",14,"mothers age at death",4,0.015,0.154250353254475
"337",20,"age at menopause",3,0.024,0.15457710397805
"338",16,"sleep duration",3,0.081,0.15489195108645
"339",38,"forearm bone mineral density",3,0.122394,0.154933679877467
"340",20,"2choice reaction time",3,0.04196,0.156153705287872
"341",1,"hdl cholesterol",5,0.003817,0.157024593338167
"342",9,"lung cancer",3,0.07891,0.157410773543758
"343",23,"internalizing problems",3,0.02853,0.157688242355646
"344",1,"forearm bone mineral density",4,0.029687,0.158414959358148
"345",23,"eczema",4,0.023834,0.159025865883719
"346",1,"haemoglobin concentration",5,0.0406,0.159502328488718
"347",20,"hip circumference",3,0.015,0.15993822390638
"348",1,"alcohol dependence",4,0.0773857,0.160236908853088
"349",10,"bulimia nervosa",4,0.06157,0.160612671356505
"350",7,"mean cell haemoglobin concentration",4,0.1362,0.160809576256162
"351",140,"bulimia nervosa",3,0.01559,0.163334929566734
"352",1,"sleep duration",7,0.082,0.164046116790583
"353",7,"systemic lupus erythematosus",5,0.0199853,0.164470055558881
"354",18,"thalamus volume",3,0.1446,0.165422946004866
"355",18,"lung cancer",3,0.124096,0.166131460248179
"356",3,"intracranial volume",3,0.04762,0.166795087120042
"357",14,"age at menarche",3,0.024,0.167110818688399
"358",179,"myocardial infarction",3,0.209927171290652,0.16736007940239
"359",9,"neuroticism",3,0.07659,0.167498907444255
"360",14,"transferrin",3,0.03081,0.16752458829969
"361",23,"lung adenocarcinoma",4,0.01367,0.168536909230827
"362",14,"inspection time",3,0.04981,0.168562910893518
"363",3,"lung cancer",4,0.028389,0.168604529854374
"364",9,"squamous cell lung cancer",3,0.124891,0.170723380311181
"365",23,"squamous cell lung cancer",4,0.011279,0.171640396048162
"366",9,"pallidum volume",3,0.0726,0.172055370429304
"367",179,"depressive symptoms",3,0.02662,0.172677780157047
"368",1,"birth length",4,0.03144,0.173422356247934
"369",6,"lung cancer",5,0.02524,0.174010644318425
"370",23,"alzheimers disease",4,0.0218,0.174410981536804
"371",2,"homair",15,0.06808,0.175020041753642
"372",1,"platelet count",6,0.06605,0.17513860328953
"373",14,"pallidum volume",3,0.09933,0.175153738255636
"374",1,"transferrin",5,0.08605,0.175206199221191
"375",26,"femoral neck bone mineral density",3,0.145969,0.17767642078383
"376",1,"homab",5,0.0521,0.178479446729729
"377",140,"nucleus accumbens volume",3,0.01764,0.1786179124013
"378",20,"childhood obesity",3,0.02153,0.179885710714897
"379",20,"waisttohip ratio",3,0.06,0.17996715872441
"380",10,"top 1  survival",5,0.12,0.180280753353809
"381",7,"inflammatory bowel disease",5,0.06446,0.180404122866069
"382",1,"chronotype",7,0.09,0.18098105760442
"383",7,"serum cystatin c egfrcys",4,0.011,0.181213687667198
"384",18,"lumbar spine bone mineral density",3,0.038461,0.181478411815424
"385",179,"years of schooling",3,0.05712,0.182208517235781
"386",14,"extreme body mass index",3,0.21,0.182561066544645
"387",9,"myocardial infarction",3,0.109292692859085,0.183933033846422
"388",1,"extreme waisttohip ratio",4,0.076,0.184278996540232
"389",2,"obesity class 1",15,0.016,0.184341316568065
"390",7,"caudate volume",5,0.07295,0.18484966583146
"391",12,"myocardial infarction",3,0.093024764804402,0.184963836386065
"392",5,"intracranial volume",3,0.1093,0.185360910054085
"393",6,"ulcerative colitis",5,0.07604,0.187763692696802
"394",1,"packed cell volume",5,0.0606,0.188061623392362
"395",23,"depressive symptoms",4,0.01709,0.18903013746267
"396",20,"digit symbol",3,0.0454,0.189132221368987
"397",10,"2choice reaction time",3,0.06281,0.189352651138897
"398",23,"red blood cell count",3,0.02,0.189421146760231
"399",140,"fathers age at death",3,0.1,0.189678220196273
"400",38,"myocardial infarction",3,0.0523096339823359,0.190001584066026
"401",14,"bulimia nervosa",3,0.02464,0.190900868120122
"402",23,"transferrin",3,0.1537,0.192398147018617
"403",1,"lumbar spine bone mineral density",3,0.040536,0.194158191755725
"404",9,"rheumatoid arthritis",3,0.069,0.194181104660676
"405",6,"hippocampus volume",4,0.02974,0.194697375672286
"406",10,"age at menopause",3,0.15,0.196997976899346
"407",38,"ulcerative colitis",3,0.06826,0.197019981207406
"408",14,"4choice reaction time",3,0.01687,0.19896794463022
"409",12,"femoral neck bone mineral density",3,0.15874,0.199318079131095
"410",1,"childhood intelligence",4,0.05489,0.201649883034053
"411",23,"subjective well being",3,0.06918,0.202344519850874
"412",20,"obesity class 2",3,0.063,0.203189183757065
"413",2,"triglycerides",15,0.05842,0.203676647691729
"414",7,"plasma cortisol",4,0.173759,0.204236610883409
"415",1,"symbol search",5,0.0698318213203048,0.206035424654545
"416",14,"rheumatoid arthritis",4,0.065,0.206082354391259
"417",5,"hippocampus volume",3,0.07345,0.206735880160715
"418",1,"former vs current smoker",5,0.02709,0.20922326614656
"419",14,"total cholesterol",3,0.01884,0.209939401019148
"420",2,"fasting insulin",15,0.05042,0.210387217983388
"421",10,"ferritin",3,0.08517,0.211537092554306
"422",2,"birth length",15,0.03543,0.211611694119402
"423",14,"neuroticism",4,0.05397,0.211903474380283
"424",16,"chronotype",3,0.082,0.212490495732818
"425",1,"mothers age at death",7,0.0059,0.213012472416485
"426",1,"percent emphysema",5,0.05823,0.213211984729788
"427",2,"type 2 diabetes",15,0.034,0.213217775373736
"428",23,"thalamus volume",3,0.1361,0.213336751643162
"429",10,"creactive protein",3,0.03439,0.213533374081265
"430",20,"ulcerative colitis",3,0.01708,0.21538880629337
"431",20,"type 2 diabetes",3,0.024,0.21549789892867
"432",10,"homair",3,0.05575,0.215847919878303
"433",2,"body fat",15,0.06558,0.216034425530478
"434",4,"forearm bone mineral density",3,0.118018,0.2166521485071
"435",4,"sitting height ratio",3,0.091,0.218161517864131
"436",5,"neuroticism",4,0.1132,0.221123251432209
"437",6,"schizophrenia",6,0.03802,0.221345951547079
"438",2,"adiponectin",15,0.0380554,0.22206183069413
"439",3,"parents age at death",4,0.016,0.222218811034415
"440",2,"forearm bone mineral density",24,0.030277,0.22280374087864
"441",6,"sleep duration",5,0.14,0.222998405198219
"442",7,"fasting glucose",4,0.02843,0.224573066561177
"443",2,"selenium",15,0.0065,0.225076811204101
"444",14,"ldl cholesterol",3,0.02705,0.225398107464273
"445",10,"amyotrophic lateral sclerosis",5,0.0173028525667231,0.225679260675967
"446",10,"difference in height between childhood and adulthood",3,0.0734442966833696,0.225902224173682
"447",23,"g speed factor",3,0.1172,0.225971801647112
"448",179,"sleep duration",3,0.04,0.227316879480092
"449",10,"difference in height between adolescence and adulthood",3,0.0410330641779853,0.228271012994387
"450",5,"nucleus accumbens volume",3,0.14,0.230948633863771
"451",20,"infant head circumference",3,0.0623,0.233993104318597
"452",26,"squamous cell lung cancer",3,0.032848,0.234349823848048
"453",179,"ulcerative colitis",3,0.133,0.234975861461624
"454",20,"extreme height",3,0.047,0.235499443347891
"455",1,"anorexia nervosa",4,0.125998,0.237583071079108
"456",2,"lung adenocarcinoma",25,0.007221,0.237985421328455
"457",14,"transferrin saturation",3,0.1353,0.239782535699301
"458",2,"obesity class 3",15,0.0041,0.239921555636686
"459",18,"systemic lupus erythematosus",3,0.148005,0.241152900652873
"460",140,"amygdala volume",3,0.05488,0.24184528811873
"461",5,"depressive symptoms",4,0.1077,0.242271768107252
"462",1,"inflammatory bowel disease",7,0.03429,0.2425270402777
"463",26,"depressive symptoms",3,0.02507,0.242598337702094
"464",7,"height",4,0.16,0.242599411984242
"465",14,"heart rate",3,0.1296,0.243980145452605
"466",18,"hippocampus volume",3,0.1434,0.244319370818852
"467",7,"rheumatoid arthritis",5,0.06,0.244327793618467
"468",14,"neoconscientiousness",3,0.05301,0.245288579977901
"469",20,"chronotype",3,0.092,0.245313135613242
"470",2,"leptin",15,0.02003,0.247003997928165
"471",3,"sitting height ratio",4,0.074,0.247077742606409
"472",1,"waisttohip ratio",5,0.07,0.247619942807541
"473",38,"neuroticism",3,0.05027,0.24946143061049
"474",23,"cigarettes smoked per day",3,0.167,0.249634594863801
"475",5,"top 1  survival",5,0.13,0.252946000161434
