"","path","filename","trait","sample_size","ncase","ncontrol","nsnp","id","category","sex","newfile"
"80","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013","GIANT_OBESITY_CLASS1_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.tab.all_pos","Obesity class 1",98697,32858,65839,2380428,90,"Risk factor","Males and females","risk_factor__obesity_class_1.txt.gz"
"826","/projects/MRC-IEU/publicdata/GWAS_summary_data/SSGAC","SSGAC_College_Rietveld2013_publicrelease.txt.gz.tab","College completion",95427,20044,75383,2321511,836,"Risk factor","Males and females","risk_factor__college_completion.txt.gz"
"1039","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/denHoed_HeartRate","META_STAGE1_GWASHR_SUMSTATS.txt.tab","Heart rate",92355,NA,NA,2516790,1056,"Risk factor","Males and females","risk_factor__heart_rate.txt.gz"
"22","/projects/MRC-IEU/publicdata/GWAS_summary_data/PGC","ckqny.scz2snpres.gz.tab","Schizophrenia",82315,35476,46839,9444231,22,"Disease","Males and females","disease__schizophrenia.txt.gz"
"823","/projects/MRC-IEU/publicdata/GWAS_summary_data/RA","RA_GWASmeta_TransEthnic_v2.txt.tab","Rheumatoid arthritis",80799,19234,61565,9739304,833,"Disease","Males and females","disease__rheumatoid_arthritis.txt.gz"
"1074","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jones_morningness_sleep_duration/","results.UKBiobank_9millionSNPs.parents_lifespan.Pilling_et_al_2016_Aging.txt.gz.BETA_top_1_percent.tab","Top 1 % survival",75244,NA,NA,9583643,1091,"Risk factor","Males and females","risk_factor__top_1__survival.txt.gz"
"1075","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jones_morningness_sleep_duration/","results.UKBiobank_9millionSNPs.parents_lifespan.Pilling_et_al_2016_Aging.txt.gz.BETA_fathers_age_death.tab","Father’s age at death",75244,NA,NA,9583643,1092,"Risk factor","Males and females","risk_factor__fathers_age_at_death.txt.gz"
"1076","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jones_morningness_sleep_duration/","results.UKBiobank_9millionSNPs.parents_lifespan.Pilling_et_al_2016_Aging.txt.gz.BETA_mothers_age_death.tab","Mother’s age at death",75244,NA,NA,9583643,1093,"Risk factor","Males and females","risk_factor__mothers_age_at_death.txt.gz"
"1077","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jones_morningness_sleep_duration/","results.UKBiobank_9millionSNPs.parents_lifespan.Pilling_et_al_2016_Aging.txt.gz.BETA_parents_age_death.tab","Parents' age at death",75244,NA,NA,9583643,1094,"Risk factor","Males and females","risk_factor__parents_age_at_death.txt.gz"
"952","/projects/MRC-IEU/publicdata/GWAS_summary_data/TAG","tag.evrsmk.tbl.tab","Ever vs never smoked",74035,41969,32066,2455847,962,"Risk factor","Males and females","risk_factor__ever_vs_never_smoked.txt.gz"
"81","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013","GIANT_OBESITY_CLASS2_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.tab.all_pos","Obesity class 2",72546,9889,62657,2331456,91,"Risk factor","Males and females","risk_factor__obesity_class_2.txt.gz"
"260","/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits","HaemGenRBC_Hb.txt.tab","Haemoglobin concentration",71861,NA,NA,2593079,270,"Risk factor","Males and females","risk_factor__haemoglobin_concentration.txt.gz"
"1037","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/GUGC_released_in_2015","GUGC_MetaAnalysis_Results_Gout.csv.tab","Gout",69374,2115,67259,2450548,1054,"Disease","Males and females","disease__gout.txt.gz"
"988","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ReproGen_Menopause","Menopause_HapMap2_DayNG2015_18112015.txt.tab","Age at menopause",69360,NA,NA,2418696,1004,"Risk factor","Females","risk_factor__age_at_menopause.txt.gz"
"263","/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits","HaemGenRBC_MCV.txt.tab","Mean cell volume",69335,NA,NA,2591133,273,"Risk factor","Males and females","risk_factor__mean_cell_volume.txt.gz"
"951","/projects/MRC-IEU/publicdata/GWAS_summary_data/TAG","tag.cpd.tbl.tab","Cigarettes smoked per day",68028,NA,NA,2459119,961,"Risk factor","Males and females","risk_factor__cigarettes_smoked_per_day.txt.gz"
"262","/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits","HaemGenRBC_MCHC.txt.tab","Mean cell haemoglobin concentration",67852,NA,NA,2588876,272,"Risk factor","Males and females","risk_factor__mean_cell_haemoglobin_concentration.txt.gz"
"990","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/HaemGen_platelets/data","MPV.txt.tab","Mean platelet volume",66867,NA,NA,2690859,1006,"Risk factor","Males and females","risk_factor__mean_platelet_volume.txt.gz"
"992","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/HaemGen_platelets/data","PLT.txt.tab","Platelet count",66867,NA,NA,2703394,1008,"Risk factor","Males and females","risk_factor__platelet_count.txt.gz"
"265","/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits","HaemGenRBC_RBC.txt.tab","Red blood cell count",66214,NA,NA,2589455,275,"Risk factor","Males and females","risk_factor__red_blood_cell_count.txt.gz"
"261","/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits","HaemGenRBC_MCH.txt.tab","Mean cell haemoglobin",64731,NA,NA,2586785,271,"Risk factor","Males and females","risk_factor__mean_cell_haemoglobin.txt.gz"
"264","/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits","HaemGenRBC_PCV.txt.tab","Packed cell volume",63511,NA,NA,2591080,274,"Risk factor","Males and females","risk_factor__packed_cell_volume.txt.gz"
"793","/projects/MRC-IEU/publicdata/GWAS_summary_data/PGC","pgc.cross.full.2013-03.txt.tab","PGC cross-disorder traits",61220,33332,27888,1249700,803,"Disease","Males and females","disease__pgc_crossdisorder_traits.txt.gz"
"763","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_Manning_et_al_FastingGlucose_MainEffect.txt.tab","Fasting glucose",58074,NA,NA,2628880,773,"Risk factor","Males and females","risk_factor__fasting_glucose.txt.gz"
"1090","/projects/MRC-IEU/publicdata/GWAS_summary_data/CKDGEN","formatted_round3meta_UACR_overall_IV_2GC_b36_MAFget005_Nget50_20140505.csv.tab","Urinary albumin-to-creatinine ratio",54450,NA,NA,2190189,1107,"Risk factor","Males and females","risk_factor__urinary_albumintocreatinine_ratio.txt.gz"
"287","/projects/MRC-IEU/publicdata/GWAS_summary_data/IGAP","IGAP_stage_1.txt.gz.tab","Alzheimer's disease",54162,17008,37154,7055882,297,"Disease","Males and females","disease__alzheimers_disease.txt.gz"
"1080","/projects/MRC-IEU/publicdata/GWAS_summary_data/CKDGEN","formatted_MA_overall_2GC_b36_MAFget005_Nget50.csv.tab","Microalbuminuria",54116,NA,NA,2191461,1097,"Risk factor","Males and females","risk_factor__microalbuminuria.txt.gz"
"765","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_Manning_et_al_lnFastingInsulin_MainEffect.txt.tab","Fasting insulin",51750,NA,NA,2627849,775,"Risk factor","Males and females","risk_factor__fasting_insulin.txt.gz"
"82","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013","GIANT_OBESITY_CLASS3_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.tab.all_pos","Obesity class 3",50364,2896,47468,2250779,92,"Risk factor","Males and females","risk_factor__obesity_class_3.txt.gz"
"954","/projects/MRC-IEU/publicdata/GWAS_summary_data/TAG/","tag.logonset.tbl.tab","Age of smoking initiation",47961,NA,NA,2457546,964,"Risk factor","Males and females","risk_factor__age_of_smoking_initiation.txt.gz"
"748","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_HbA1C.txt.tab","HbA1C",46368,NA,NA,2576680,758,"Risk factor","Males and females","risk_factor__hba1c.txt.gz"
"760","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_ln_HOMA-B.txt.tab","HOMA-B",46186,NA,NA,2456946,770,"Risk factor","Males and females","risk_factor__homab.txt.gz"
"761","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_ln_HOMA-IR.txt.tab","HOMA-IR",46186,NA,NA,2458074,771,"Risk factor","Males and females","risk_factor__homair.txt.gz"
"953","/projects/MRC-IEU/publicdata/GWAS_summary_data/TAG","tag.former.tbl.tab","Former vs current smoker",41969,23554,18415,2456555,963,"Risk factor","Males and females","risk_factor__former_vs_current_smoker.txt.gz"
"980","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EAGLE_Eczema","2014-02-13_EAGLE_Eczema_GWAMA_CEU_fixed_without_23andMe.rsid.tab","Eczema",40835,10788,30047,11059641,996,"Disease","Males and females","disease__eczema.txt.gz"
"1","/projects/MRC-IEU/publicdata/GWAS_summary_data/ADIPOGEN","adipogen.discovery.eur_.meta_.public.release.txt.tab","Adiponectin",39883,NA,NA,2675209,1,"Risk factor","Males and females","risk_factor__adiponectin.txt.gz"
"1069","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MinE_27455348/","als.sumstats.meta.txt.tab","Amyotrophic lateral sclerosis",36052,12577,23475,8709432,1086,"Disease","Males and females","disease__amyotrophic_lateral_sclerosis.txt.gz"
"31","/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD","EUR.IBD.gwas.assoc.gz.tab","Inflammatory bowel disease",34652,12882,21770,12716084,31,"Disease","Males and females","disease__inflammatory_bowel_disease.txt.gz"
"272","/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase","hg19_gwas_ic_pso_tsoi_4_19_1.tab.tab","Psoriasis",33394,10588,22806,110345,282,"Disease","Males and females","disease__psoriasis.txt.gz"
"1089","/projects/MRC-IEU/publicdata/GWAS_summary_data/CKDGEN","formatted_round3meta_eGFRcys_overall_IV_2GC_b36_MAFget005_Nget50_20120725_b37.csv.tab","Serum cystatin C (eGFRcys)",33152,NA,NA,2197556,1106,"Risk factor","Males and females","risk_factor__serum_cystatin_c_egfrcys.txt.gz"
"987","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Kilpeläinen_Leptin","Leptin_Not_Adjusted_for_BMI.txt.tab","Leptin",32161,NA,NA,2473865,1003,"Risk factor","Males and females","risk_factor__leptin.txt.gz"
"1025","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_ICV_Combined_GenomeControlled_Jan23.tbl.gz.tab","Intracranial volume",30717,NA,NA,7484970,1041,"Risk factor","Males and females","risk_factor__intracranial_volume.txt.gz"
"1026","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_MeanAccumbens_Combined_GenomeControlled_Jan23.tbl.gz.tab","Nucleus accumbens volume",30717,NA,NA,7272653,1042,"Risk factor","Males and females","risk_factor__nucleus_accumbens_volume.txt.gz"
"1027","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_MeanAmygdala_Combined_GenomeControlled_Jan23.tbl.gz.tab","Amygdala volume",30717,NA,NA,7252270,1043,"Risk factor","Males and females","risk_factor__amygdala_volume.txt.gz"
"1028","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_MeanCaudate_Combined_GenomeControlled_Jan23.tbl.gz.tab","Caudate volume",30717,NA,NA,7277001,1044,"Risk factor","Males and females","risk_factor__caudate_volume.txt.gz"
"1029","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_MeanHippocampus_Combined_GenomeControlled_Jan23.tbl.gz.tab","Hippocampus volume",30717,NA,NA,7276413,1045,"Risk factor","Males and females","risk_factor__hippocampus_volume.txt.gz"
"1030","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_MeanPallidum_Combined_GenomeControlled_Jan23.tbl.gz.tab","Pallidum volume",30717,NA,NA,7270265,1046,"Risk factor","Males and females","risk_factor__pallidum_volume.txt.gz"
"1031","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_MeanPutamen_Combined_GenomeControlled_Jan23.tbl.gz.tab","Putamen volume",30717,NA,NA,7282885,1047,"Risk factor","Males and females","risk_factor__putamen_volume.txt.gz"
"1032","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/","ENIGMA2_MeanThalamus_Combined_GenomeControlled_Jan23.tbl.gz.tab","Thalamus volume",30717,NA,NA,7288410,1048,"Risk factor","Males and females","risk_factor__thalamus_volume.txt.gz"
"792","/projects/MRC-IEU/publicdata/GWAS_summary_data/PGC","pgc.cross.AUT8.2013-05.txt.gz.tab","Autism",29415,14525,14890,1245865,802,"Disease","Males and females","disease__autism.txt.gz"
"29","/projects/MRC-IEU/publicdata/GWAS_summary_data/EGG","EGG-GWAS-BL.txt.gz.tab","Birth length",28459,NA,NA,2201972,29,"Risk factor","Males and females","risk_factor__birth_length.txt.gz"
"32","/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD","EUR.UC.gwas.assoc.gz.tab","Ulcerative colitis",27432,6968,20464,12255197,32,"Disease","Males and females","disease__ulcerative_colitis.txt.gz"
"956","/projects/MRC-IEU/publicdata/GWAS_summary_data/ILCCO","TRICL_ICR_MDACC_IARC_NIH_GWAMA_overall.rsid.txt.tab","Lung cancer",27209,11348,15861,8945893,966,"Disease","Males and females","disease__lung_cancer.txt.gz"
"276","/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase","hg19_gwas_ms_imsgc_4_19_1.tab","Multiple sclerosis",27148,9772,17376,464358,286,"Disease","Males and females","disease__multiple_sclerosis.txt.gz"
"34","/projects/MRC-IEU/publicdata/GWAS_summary_data/Gabriel","gabriel_results.txt.tab","Asthma",26475,10365,16110,546183,44,"Disease","Males and females","disease__asthma.txt.gz"
"928","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Tyr.txt.tab","Tyrosine",24925,NA,NA,12090785,938,"Metabolites","Males and females","metabolites__tyrosine.txt.gz"
"930","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Val.txt.tab","Valine",24900,NA,NA,12092490,940,"Metabolites","Males and females","metabolites__valine.txt.gz"
"884","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Lac.txt.tab","Lactate",24871,NA,NA,12078471,894,"Metabolites","Males and females","metabolites__lactate.txt.gz"
"840","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Crea.txt.tab","Creatinine",24810,NA,NA,12087816,850,"Metabolites","Males and females","metabolites__creatinine.txt.gz"
"830","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Ala.txt.tab","Alanine",24796,NA,NA,12091566,840,"Metabolites","Males and females","metabolites__alanine.txt.gz"
"863","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Ile.txt.tab","Isoleucine",24776,NA,NA,12076452,873,"Metabolites","Males and females","metabolites__isoleucine.txt.gz"
"839","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Cit.txt.tab","Citrate",24770,NA,NA,12086145,849,"Metabolites","Males and females","metabolites__citrate.txt.gz"
"910","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Pyr.txt.tab","Pyruvate",24756,NA,NA,12079526,920,"Metabolites","Males and females","metabolites__pyruvate.txt.gz"
"829","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Ace.txt.tab","Acetate",24748,NA,NA,12082155,839,"Metabolites","Males and females","metabolites__acetate.txt.gz"
"887","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Leu.txt.tab","Leucine",24728,NA,NA,12078191,897,"Metabolites","Males and females","metabolites__leucine.txt.gz"
"849","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Glc.txt.tab","Glucose",24679,NA,NA,12052259,859,"Metabolites","Males and females","metabolites__glucose.txt.gz"
"850","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Gln.txt.tab","Glutamine",24462,NA,NA,11976419,860,"Metabolites","Males and females","metabolites__glutamine.txt.gz"
"836","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_bOHBut.txt.tab","3-hydroxybutyrate",24154,NA,NA,11977365,846,"Metabolites","Males and females","metabolites__3hydroxybutyrate.txt.gz"
"1033","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/","Iron_Benyamin_NatCom_2014.txt.tab","Iron",23986,NA,NA,2096457,1049,"Risk factor","Males and females","risk_factor__iron.txt.gz"
"1034","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/","Log10Ferritin_Benyamin_NatCom_2014.txt.tab","Ferritin",23986,NA,NA,2036124,1050,"Risk factor","Males and females","risk_factor__ferritin.txt.gz"
"1035","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/","Saturation_Benyamin_NatCom_2014.txt.tab","Transferrin Saturation",23986,NA,NA,2102226,1051,"Risk factor","Males and females","risk_factor__transferrin_saturation.txt.gz"
"1036","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/","Transferrin_Benyamin_NatCom_2014.txt.tab","Transferrin",23986,NA,NA,2104242,1052,"Risk factor","Males and females","risk_factor__transferrin.txt.gz"
"278","/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase","hg19_gwas_sle_bentham_4_20_0.tab","Systemic lupus erythematosus",23210,7219,15991,7738889,288,"Disease","Males and females","disease__systemic_lupus_erythematosus.txt.gz"
"909","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Phe.txt.tab","Phenylalanine",22663,NA,NA,12042964,919,"Metabolites","Males and females","metabolites__phenylalanine.txt.gz"
"1053","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Chan_25865494_sitting-height-ratio/","SHR.INVNORMAL.EuropeanAncestry.Stage1.RELEASE.ROUNDED.tbl.gz.tab","Sitting height ratio",21590,NA,NA,7710729,1070,"Risk factor","Males and females","risk_factor__sitting_height_ratio.txt.gz"
"858","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_IDL.FC.txt.tab","Free cholesterol in IDL",21559,NA,NA,11861199,868,"Metabolites","Males and females","metabolites__free_cholesterol_in_idl.txt.gz"
"861","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_IDL.PL.txt.tab","Phospholipids in IDL",21559,NA,NA,11871461,871,"Metabolites","Males and females","metabolites__phospholipids_in_idl.txt.gz"
"866","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.HDL.FC.txt.tab","Free cholesterol in large HDL",21559,NA,NA,11869426,876,"Metabolites","Males and females","metabolites__free_cholesterol_in_large_hdl.txt.gz"
"885","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_LDL.C.txt.tab","Total cholesterol in LDL",21559,NA,NA,11871461,895,"Metabolites","Males and females","metabolites__total_cholesterol_in_ldl.txt.gz"
"890","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.HDL.FC.txt.tab","Free cholesterol in medium HDL",21559,NA,NA,11869673,900,"Metabolites","Males and females","metabolites__free_cholesterol_in_medium_hdl.txt.gz"
"894","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.LDL.C.txt.tab","Total cholesterol in medium LDL",21559,NA,NA,11862863,904,"Metabolites","Males and females","metabolites__total_cholesterol_in_medium_ldl.txt.gz"
"918","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.VLDL.FC.txt.tab","Free cholesterol in small VLDL",21559,NA,NA,11850620,928,"Metabolites","Males and females","metabolites__free_cholesterol_in_small_vldl.txt.gz"
"864","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.HDL.C.txt.tab","Total cholesterol in large HDL",21558,NA,NA,11861714,874,"Metabolites","Males and females","metabolites__total_cholesterol_in_large_hdl.txt.gz"
"888","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.HDL.C.txt.tab","Total cholesterol in medium HDL",21558,NA,NA,11864118,898,"Metabolites","Males and females","metabolites__total_cholesterol_in_medium_hdl.txt.gz"
"893","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.HDL.PL.txt.tab","Phospholipids in medium HDL",21558,NA,NA,11871422,903,"Metabolites","Males and females","metabolites__phospholipids_in_medium_hdl.txt.gz"
"898","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.LDL.PL.txt.tab","Phospholipids in medium LDL",21558,NA,NA,11871461,908,"Metabolites","Males and females","metabolites__phospholipids_in_medium_ldl.txt.gz"
