Name,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,P-value (Current vs. Never),FDR (Current vs. Never),Dose Response
cg23576855,II,5,"373,299",R,AHRR,-1.5E-04,8.2E-06,-18.52,1.4E-76,1.5E-73,7.10E-27,1.0E-22,1
cg01442064,II,4,"5,713,450",F,EVC,-1.5E-05,1.8E-06,-8.69,3.7E-18,2.6E-16,1.63E-26,2.3E-22,1
cg25197194,II,3,"128,758,787",F,CCDC48,1.1E-05,2.8E-06,4.07,4.7E-05,2.1E-04,1.73E-26,2.4E-22,1
cg05575921,I,5,"373,378",F,AHRR,-1.8E-04,3.6E-06,-48.85,0.0E+00,0.0E+00,4.55E-26,6.1E-22,1
cg08118908,I,16,"15,787,920",F,NDE1,3.7E-06,8.3E-07,4.48,7.5E-06,4.4E-05,5.41E-26,7.1E-22,1
cg10814005,II,14,"91,711,041",F,GPR68,-1.4E-05,1.6E-06,-9.22,3.1E-20,2.8E-18,6.01E-26,7.7E-22,1
cg16047567,II,1,"12,664,243",R,DHRS3,-2.0E-05,2.3E-06,-8.92,4.5E-19,3.5E-17,8.08E-26,1.0E-21,1
cg25421530,II,10,"97,200,987",R,SORBS1,1.4E-05,2.3E-06,6.24,4.3E-10,8.0E-09,1.45E-25,1.8E-21,1
cg07339236,II,20,"50,312,490",R,ATP9A,-2.3E-05,1.9E-06,-12.16,5.2E-34,1.2E-31,2.37E-25,2.8E-21,1
cg14003265,II,9,"139,796,499",F,TRAF2,-7.5E-06,2.0E-06,-3.73,1.9E-04,7.2E-04,3.21E-25,3.7E-21,1
cg20059012,I,12,"53,613,154",F,RARG,-3.2E-05,3.1E-06,-10.49,9.9E-26,1.5E-23,3.91E-25,4.4E-21,1
cg10919522,II,14,"74,227,441",F,C14orf43,-1.3E-05,1.9E-06,-6.62,3.6E-11,8.3E-10,4.00E-25,4.4E-21,1
cg11660018,II,11,"86,510,915",F,PRSS23,-4.7E-05,2.3E-06,-20.44,6.9E-93,9.3E-90,4.12E-25,4.4E-21,1
cg21566642,I,2,"233,284,661",R,,-1.3E-04,3.5E-06,-36.22,3.5E-287,2.2E-283,4.22E-25,4.5E-21,1
cg25949550,II,7,"145,814,306",F,CNTNAP2,-2.4E-05,1.7E-06,-14.05,7.5E-45,2.9E-42,9.02E-25,9.3E-21,1
cg17025683,II,1,"173,836,220",R,SNORD78;ZBTB37;SNORD75;SNORD76;GAS5;SNORD77;SNORD44,-1.5E-05,2.1E-06,-7.09,1.3E-12,4.2E-11,1.10E-24,1.1E-20,1
cg09469355,II,1,"2,161,886",R,SKI,-1.5E-05,1.8E-06,-8.37,5.9E-17,3.6E-15,1.35E-24,1.3E-20,1
cg02583484,II,12,"54,677,008",F,HNRNPA1;HNRPA1L-2,-2.9E-05,2.1E-06,-13.70,9.8E-43,3.4E-40,1.79E-24,1.7E-20,1
cg09735822,II,12,"133,015,059",R,,8.4E-06,1.9E-06,4.53,5.8E-06,3.6E-05,2.59E-24,2.5E-20,1
cg02556393,II,3,"168,866,705",F,MECOM,-1.7E-05,2.7E-06,-6.37,1.9E-10,3.9E-09,2.76E-24,2.6E-20,1
cg02637282,II,12,"98,768,240",F,,8.9E-06,2.3E-06,3.94,8.1E-05,3.5E-04,5.95E-24,5.4E-20,1
cg25097946,II,10,"97,200,985",R,SORBS1,9.7E-06,2.2E-06,4.48,7.4E-06,4.4E-05,7.60E-24,6.8E-20,1
cg08899667,II,6,"31,761,055",R,VARS,1.7E-05,2.3E-06,7.39,1.5E-13,5.4E-12,7.72E-24,6.8E-20,1
cg13428066,II,11,"2,677,768",R,KCNQ1;KCNQ1OT1,8.5E-06,1.9E-06,4.44,8.8E-06,5.1E-05,1.05E-23,9.1E-20,1
cg03440944,II,7,"45,023,329",R,C7orf40,-1.3E-05,1.7E-06,-7.87,3.4E-15,1.6E-13,1.92E-23,1.6E-19,1
cg24741609,II,1,"54,122,060",R,GLIS1,-1.3E-05,2.3E-06,-5.54,3.1E-08,3.6E-07,2.60E-23,2.2E-19,1
cg01218206,II,11,"116,933,977",R,SIK3,-1.2E-05,2.6E-06,-4.76,1.9E-06,1.3E-05,3.07E-23,2.5E-19,1
cg16151960,II,5,"133,890,280",F,PHF15,-8.9E-06,1.7E-06,-5.36,8.3E-08,8.6E-07,4.07E-23,3.3E-19,1
cg00930606,II,22,"31,740,944",R,PATZ1,-1.4E-05,2.1E-06,-6.58,4.6E-11,1.0E-09,6.53E-23,5.2E-19,1
cg04761231,II,9,"127,623,571",R,RPL35,-1.1E-05,1.7E-06,-6.71,1.9E-11,4.6E-10,6.99E-23,5.5E-19,1
cg01971407,II,11,"313,624",R,IFITM1,-1.5E-05,2.1E-06,-6.87,6.2E-12,1.7E-10,7.76E-23,6.0E-19,1
cg04987734,II,14,"103,415,873",R,CDC42BPB,1.8E-05,2.6E-06,6.86,6.8E-12,1.8E-10,9.00E-23,6.8E-19,1
cg12803068,II,7,"45,002,919",F,MYO1G,8.2E-05,6.0E-06,13.69,1.2E-42,4.1E-40,9.06E-23,6.8E-19,1
cg16295156,II,1,"9,466,328",R,,-9.5E-06,1.5E-06,-6.23,4.7E-10,8.5E-09,1.10E-22,8.1E-19,1
cg09570614,II,2,"112,124,380",R,,7.4E-06,1.9E-06,3.81,1.4E-04,5.4E-04,1.16E-22,8.4E-19,1
cg05329352,II,10,"112,838,983",R,ADRA2A,-2.9E-05,3.7E-06,-7.98,1.5E-15,7.3E-14,2.17E-22,1.6E-18,1
cg27118035,II,16,"31,891,978",F,ZNF267,1.6E-05,2.1E-06,7.55,4.2E-14,1.7E-12,2.43E-22,1.7E-18,1
cg03140521,II,1,"68,299,388",R,GNG12,-1.7E-05,2.4E-06,-7.03,2.0E-12,6.0E-11,2.77E-22,1.9E-18,1
cg17214023,II,2,"10,176,748",R,,-7.9E-06,1.7E-06,-4.70,2.6E-06,1.8E-05,2.96E-22,2.0E-18,1
cg00300637,II,5,"319,433",R,AHRR,9.5E-06,2.8E-06,3.43,6.0E-04,0.0019,3.83E-22,2.6E-18,1
cg07042170,II,8,"8,831,422",F,,1.1E-05,3.1E-06,3.58,3.4E-04,0.0012,4.47E-22,2.9E-18,1
cg25809905,II,17,"42,467,728",F,ITGA2B,2.0E-05,3.2E-06,6.13,8.9E-10,1.5E-08,4.49E-22,2.9E-18,1
cg16794579,II,16,"17,562,419",F,XYLT1,-2.0E-05,2.1E-06,-9.71,2.8E-22,3.2E-20,5.09E-22,3.3E-18,1
cg27332104,II,15,"52,386,161",R,,1.2E-05,2.1E-06,5.94,2.8E-09,4.3E-08,5.10E-22,3.3E-18,1
cg25189904,II,1,"68,299,493",F,GNG12,-7.9E-05,4.4E-06,-17.72,3.2E-70,2.5E-67,5.22E-22,3.3E-18,1
cg01937809,II,1,"37,941,854",R,ZC3H12A,-1.8E-05,2.3E-06,-7.71,1.2E-14,5.3E-13,5.39E-22,3.4E-18,1
cg19070894,I,5,"134,823,888",F,,7.8E-06,2.4E-06,3.22,0.0013,0.0035,6.42E-22,3.9E-18,1
cg17619208,I,5,"175,623,192",R,,-5.8E-06,1.7E-06,-3.41,6.4E-04,0.0020,6.81E-22,4.1E-18,1
cg11927233,II,5,"170,816,542",F,NPM1,-2.0E-05,2.3E-06,-8.68,3.8E-18,2.7E-16,8.43E-22,5.1E-18,1
cg26703534,II,5,"377,358",F,AHRR,-3.1E-05,1.8E-06,-17.27,7.9E-67,4.9E-64,1.22E-21,7.2E-18,1
cg20902353,II,14,"94,425,114",R,ASB2,-1.1E-05,1.5E-06,-7.21,5.7E-13,1.9E-11,1.36E-21,7.9E-18,1
cg25560398,I,2,"233,252,170",R,ECEL1P2,-1.2E-05,1.4E-06,-8.61,7.1E-18,4.8E-16,1.51E-21,8.7E-18,1
cg08709672,I,1,"206,224,334",R,AVPR1B,-1.8E-05,2.0E-06,-9.28,1.7E-20,1.6E-18,1.55E-21,8.8E-18,1
cg27627381,I,17,"75,452,100",F,SEPT9,-4.2E-06,1.2E-06,-3.47,5.1E-04,0.0016,1.95E-21,1.1E-17,1
cg18450254,II,3,"64,200,005",F,PRICKLE2,9.6E-06,2.2E-06,4.37,1.3E-05,7.0E-05,2.26E-21,1.3E-17,1
cg17619755,I,6,"31,760,629",F,VARS,2.4E-05,3.2E-06,7.46,8.7E-14,3.3E-12,3.18E-21,1.8E-17,1
cg06753787,II,2,"220,074,208",F,ZFAND2B,4.0E-06,1.3E-06,3.08,0.0021,0.0053,3.23E-21,1.8E-17,1
cg14183922,II,17,"75,371,532",F,SEPT9,-5.9E-06,1.6E-06,-3.64,2.7E-04,9.5E-04,5.02E-21,2.7E-17,1
cg07029024,II,11,"65,249,342",F,,1.0E-05,2.7E-06,3.81,1.4E-04,5.5E-04,5.46E-21,2.9E-17,1
cg18158306,II,12,"133,135,032",R,FBRSL1,6.7E-06,2.1E-06,3.23,0.0013,0.0035,6.16E-21,3.2E-17,1
cg21990700,II,12,"7,260,776",R,LOC283314;C1RL,-1.5E-05,1.9E-06,-8.16,3.4E-16,1.9E-14,7.51E-21,3.9E-17,1
cg26257411,II,6,"33,397,122",F,SYNGAP1,-6.9E-06,1.4E-06,-4.91,8.9E-07,7.0E-06,8.41E-21,4.3E-17,1
cg19093370,I,17,"17,110,180",F,PLD6,1.3E-05,5.0E-06,2.60,0.0093,0.0189,8.65E-21,4.4E-17,1
cg03636183,II,19,"17,000,585",R,F2RL3,-1.2E-04,2.9E-06,-39.48,0.0E+00,0.0E+00,1.12E-20,5.7E-17,1
cg19859270,II,3,"98,251,294",R,GPR15,-3.4E-05,1.2E-06,-29.33,4.3E-189,1.2E-185,1.25E-20,6.3E-17,1
cg14550518,II,3,"21,792,938",R,ZNF385D,-5.1E-06,1.5E-06,-3.50,4.6E-04,0.0015,1.33E-20,6.6E-17,1
cg01439566,II,11,"113,932,189",F,ZBTB16,3.9E-06,1.2E-06,3.31,9.3E-04,0.0027,1.65E-20,8.1E-17,1
cg06126421,II,6,"30,720,080",R,,-1.1E-04,3.8E-06,-29.92,1.2E-196,3.8E-193,1.72E-20,8.3E-17,1
cg06951627,II,6,"26,196,580",R,,-2.0E-05,3.2E-06,-6.39,1.6E-10,3.3E-09,1.74E-20,8.3E-17,1
cg22052143,II,5,"78,067,856",F,,1.1E-05,1.6E-06,7.13,1.0E-12,3.2E-11,1.87E-20,8.9E-17,1
cg09182189,II,1,"1,709,203",R,NADK,-1.3E-05,1.5E-06,-8.80,1.3E-18,1.0E-16,1.96E-20,9.2E-17,1
cg18369990,II,2,"112,941,244",F,FBLN7,8.0E-06,1.9E-06,4.29,1.8E-05,9.6E-05,2.33E-20,1.1E-16,1
cg25593631,I,1,"9,687,880",F,,-1.5E-05,2.3E-06,-6.79,1.1E-11,2.8E-10,2.36E-20,1.1E-16,1
cg03980408,II,20,"1,371,904",F,FKBP1A,-9.2E-06,1.6E-06,-5.68,1.3E-08,1.7E-07,2.71E-20,1.2E-16,1
cg08048687,II,2,"111,996,799",R,,-5.4E-06,1.2E-06,-4.34,1.4E-05,7.7E-05,2.86E-20,1.3E-16,1
cg24578857,I,17,"17,110,207",F,PLD6,1.2E-05,5.0E-06,2.31,0.0212,0.0374,3.13E-20,1.4E-16,1
cg26477856,II,12,"56,324,915",F,DGKA,-1.0E-05,1.5E-06,-6.87,6.4E-12,1.7E-10,3.22E-20,1.4E-16,1
cg16776035,II,17,"74,542,680",F,,8.6E-06,1.9E-06,4.60,4.3E-06,2.7E-05,3.56E-20,1.6E-16,1
cg24399529,II,15,"69,373,153",R,MIR548H4;TMEM84,1.3E-05,1.8E-06,7.21,5.7E-13,1.9E-11,3.60E-20,1.6E-16,1
cg19572487,II,17,"38,476,024",R,RARA,-5.3E-05,2.6E-06,-20.73,2.0E-95,2.9E-92,3.80E-20,1.6E-16,1
cg15228441,II,17,"78,829,930",F,RPTOR,-1.4E-05,2.1E-06,-6.34,2.3E-10,4.6E-09,3.83E-20,1.6E-16,1
cg26361535,II,8,"144,576,604",F,ZC3H3,-4.4E-05,3.5E-06,-12.72,4.8E-37,1.3E-34,4.21E-20,1.8E-16,1
cg11390978,I,19,"16,986,831",R,SIN3B,-1.2E-05,1.7E-06,-7.04,2.0E-12,5.9E-11,4.48E-20,1.9E-16,1
cg05593667,II,6,"35,490,744",F,,-1.3E-05,2.0E-06,-6.43,1.2E-10,2.6E-09,5.55E-20,2.3E-16,1
cg23916896,II,5,"368,804",R,AHRR,-5.0E-05,3.1E-06,-16.37,3.3E-60,1.7E-57,6.32E-20,2.6E-16,1
cg20408402,II,10,"72,362,452",R,PRF1,7.7E-06,1.5E-06,5.24,1.6E-07,1.5E-06,7.63E-20,3.1E-16,1
cg14817490,II,5,"392,920",F,AHRR,-4.1E-05,2.3E-06,-18.04,8.7E-73,7.4E-70,1.17E-19,4.8E-16,1
cg27537125,II,1,"25,349,681",F,,-1.6E-05,1.3E-06,-12.64,1.3E-36,3.6E-34,1.35E-19,5.5E-16,1
cg13910681,II,9,"130,740,599",R,FAM102A,-4.0E-06,1.2E-06,-3.16,0.0016,0.0042,1.72E-19,6.9E-16,1
cg04673446,II,22,"39,879,951",F,MGAT3,5.0E-06,1.3E-06,3.82,1.3E-04,5.3E-04,2.00E-19,8.0E-16,1
cg05284742,II,14,"93,552,128",R,ITPK1,-2.9E-05,1.6E-06,-17.61,2.0E-69,1.5E-66,2.09E-19,8.3E-16,1
cg06803614,II,1,"40,133,581",F,NT5C1A,-1.0E-05,1.6E-06,-6.29,3.1E-10,5.9E-09,2.13E-19,8.3E-16,1
cg22441770,II,1,"153,929,592",R,CRTC2,-1.4E-05,1.6E-06,-8.99,2.4E-19,1.9E-17,2.13E-19,8.3E-16,1
cg25625514,II,11,"76,535,564",F,,-1.4E-05,2.8E-06,-5.08,3.7E-07,3.2E-06,2.22E-19,8.5E-16,1
cg03329539,II,2,"233,283,329",F,,-4.0E-05,2.0E-06,-19.67,4.0E-86,4.4E-83,2.54E-19,9.7E-16,1
cg23351584,II,11,"86,512,100",F,PRSS23,-1.2E-05,1.0E-06,-11.62,3.1E-31,6.5E-29,2.65E-19,1.0E-15,1
cg16274678,II,1,"154,127,952",R,TPM3;NUP210L,-1.5E-05,3.2E-06,-4.68,2.8E-06,1.9E-05,2.94E-19,1.1E-15,1
cg21439672,II,12,"7,260,546",R,C1RL;LOC283314,-1.5E-05,2.4E-06,-6.30,3.0E-10,5.7E-09,3.28E-19,1.2E-15,1
cg07286341,II,5,"176,923,805",R,PDLIM7,-1.1E-05,1.5E-06,-7.01,2.3E-12,6.8E-11,3.44E-19,1.3E-15,1
cg20059928,II,15,"40,361,485",R,,-3.4E-05,3.6E-06,-9.57,1.0E-21,1.1E-19,3.46E-19,1.3E-15,1
cg20674424,II,3,"186,503,527",F,MIR1248;EIF4A2;SNORA81,-1.0E-05,1.5E-06,-6.81,1.0E-11,2.6E-10,4.22E-19,1.5E-15,1
cg22571654,II,3,"150,805,388",F,MED12L,6.5E-06,1.9E-06,3.41,6.4E-04,0.0020,4.71E-19,1.7E-15,1
cg02279625,II,15,"78,384,520",R,SH2D7,5.9E-06,2.1E-06,2.82,0.0048,0.0108,4.78E-19,1.7E-15,1
cg03485667,II,16,"75,143,200",F,ZNRF1,-1.5E-05,1.9E-06,-7.84,4.6E-15,2.1E-13,5.00E-19,1.8E-15,1
cg22851561,II,14,"74,214,183",F,C14orf43,-1.6E-05,2.1E-06,-7.75,9.3E-15,4.1E-13,5.58E-19,2.0E-15,1
cg14656441,II,1,"39,500,070",R,NDUFS5,1.7E-05,3.4E-06,5.11,3.2E-07,2.8E-06,5.74E-19,2.0E-15,1
cg10750182,II,10,"73,497,514",R,C10orf105;CDH23,-1.6E-05,1.3E-06,-11.98,4.5E-33,1.1E-30,6.25E-19,2.2E-15,1
cg07712198,II,5,"9,015,582",R,,6.3E-06,2.3E-06,2.78,0.0055,0.0121,6.49E-19,2.2E-15,1
cg23198793,I,15,"42,694,406",R,CAPN3,1.3E-05,2.2E-06,6.20,5.6E-10,1.0E-08,6.62E-19,2.3E-15,1
cg03051880,II,6,"119,662,024",F,MAN1A1,8.2E-06,2.4E-06,3.47,5.2E-04,0.0017,6.78E-19,2.3E-15,1
cg02660097,II,11,"68,866,761",R,,1.9E-05,5.2E-06,3.69,2.2E-04,8.1E-04,7.03E-19,2.4E-15,1
cg03531211,II,6,"32,920,102",R,HLA-DMA,-1.6E-05,2.7E-06,-6.09,1.1E-09,1.9E-08,7.50E-19,2.5E-15,1
cg21733098,II,12,"127,931,219",F,,-2.6E-05,4.0E-06,-6.40,1.5E-10,3.1E-09,7.94E-19,2.7E-15,1
cg22132788,I,7,"45,002,486",R,MYO1G,4.9E-05,4.3E-06,11.41,3.9E-30,7.6E-28,8.14E-19,2.7E-15,1
cg10955164,II,22,"39,919,237",F,,-8.9E-06,1.6E-06,-5.76,8.3E-09,1.1E-07,8.61E-19,2.8E-15,1
cg11554391,II,5,"321,320",F,AHRR,-2.5E-05,1.8E-06,-13.77,3.6E-43,1.3E-40,9.79E-19,3.2E-15,1
cg09940677,II,14,"103,415,458",R,CDC42BPB,8.3E-06,1.5E-06,5.59,2.2E-08,2.7E-07,1.00E-18,3.2E-15,1
cg24049050,II,1,"94,702,435",F,ARHGAP29,-1.0E-05,1.8E-06,-5.75,8.7E-09,1.2E-07,1.01E-18,3.2E-15,1
cg14624207,II,11,"68,142,198",F,LRP5,-2.4E-05,1.7E-06,-14.03,9.8E-45,3.8E-42,1.01E-18,3.2E-15,1
cg22040631,I,2,"129,153,820",R,,-1.1E-05,2.2E-06,-4.92,8.7E-07,6.9E-06,1.15E-18,3.7E-15,1
cg08763102,II,4,"3,079,751",F,HTT,-7.3E-06,1.6E-06,-4.59,4.4E-06,2.8E-05,1.18E-18,3.8E-15,1
cg21611682,II,11,"68,138,269",F,LRP5,-2.9E-05,1.8E-06,-16.12,1.8E-58,8.8E-56,1.35E-18,4.2E-15,1
cg12303084,II,20,"45,985,741",F,ZMYND8,-2.2E-05,1.8E-06,-12.17,4.3E-34,1.0E-31,1.35E-18,4.2E-15,1
cg23161492,II,15,"90,357,202",R,ANPEP,-3.8E-05,2.6E-06,-14.65,1.3E-48,5.5E-46,1.45E-18,4.5E-15,1
cg22851200,II,7,"100,465,833",R,TRIP6,-2.7E-05,2.8E-06,-9.60,8.2E-22,8.7E-20,1.47E-18,4.5E-15,1
cg04638655,II,14,"101,529,855",F,MIR541,8.7E-06,1.5E-06,5.68,1.3E-08,1.7E-07,1.49E-18,4.6E-15,1
cg11207515,II,7,"146,904,205",R,CNTNAP2,4.1E-05,4.1E-06,10.03,1.2E-23,1.5E-21,1.54E-18,4.7E-15,1
cg03280235,II,6,"32,158,953",R,PBX2;GPSM3,-7.1E-06,1.5E-06,-4.69,2.8E-06,1.9E-05,1.61E-18,4.9E-15,1
cg02462416,II,11,"2,036,573",R,,-1.4E-05,4.3E-06,-3.25,0.0012,0.0032,1.71E-18,5.1E-15,1
cg03536711,II,1,"221,509,067",F,LOC400804,1.2E-05,2.9E-06,4.12,3.7E-05,1.8E-04,1.72E-18,5.1E-15,1
cg20810975,II,17,"42,467,199",R,ITGA2B,4.6E-06,1.5E-06,3.12,0.0018,0.0048,1.72E-18,5.1E-15,1
cg00138101,II,17,"1,961,109",F,HIC1,6.7E-06,1.2E-06,5.45,5.1E-08,5.6E-07,1.79E-18,5.3E-15,1
cg02654940,II,6,"34,206,400",F,HMGA1,-1.4E-05,1.7E-06,-8.68,4.1E-18,2.8E-16,1.94E-18,5.7E-15,1
cg05389935,II,1,"26,610,757",R,UBXN11,-8.4E-06,1.3E-06,-6.29,3.1E-10,6.0E-09,2.02E-18,5.9E-15,1
cg00499237,II,2,"97,169,033",R,NEURL3,-6.5E-06,1.7E-06,-3.69,2.2E-04,8.0E-04,2.29E-18,6.6E-15,1
cg14012925,I,7,"101,556,907",R,CUX1,1.1E-05,2.3E-06,4.87,1.1E-06,8.5E-06,2.38E-18,6.9E-15,1
cg14142087,II,9,"110,479,859",F,,1.5E-05,1.8E-06,8.04,8.8E-16,4.5E-14,2.44E-18,7.0E-15,1
cg14899065,II,15,"81,587,108",F,IL16,-8.4E-06,2.5E-06,-3.34,8.4E-04,0.0025,2.46E-18,7.0E-15,1
cg00871610,II,21,"37,093,012",R,MIR802,-2.6E-05,2.7E-06,-9.50,2.1E-21,2.1E-19,2.58E-18,7.3E-15,1
cg12806681,II,5,"368,394",R,AHRR,-2.8E-05,1.7E-06,-16.88,6.3E-64,3.8E-61,2.58E-18,7.3E-15,1
cg08035323,II,2,"9,843,525",R,,3.0E-05,2.7E-06,10.87,1.6E-27,2.7E-25,2.92E-18,8.2E-15,1
cg08305533,II,22,"32,007,224",R,SFI1,1.2E-05,2.4E-06,4.96,7.0E-07,5.7E-06,3.14E-18,8.7E-15,1
cg13985198,I,1,"45,242,073",F,SNORD46;RPS8;SNORD38A,-1.3E-05,1.6E-06,-8.05,8.6E-16,4.4E-14,3.25E-18,9.0E-15,1
cg21322436,I,7,"145,812,842",R,CNTNAP2,-3.5E-05,1.9E-06,-18.07,5.0E-73,4.5E-70,3.52E-18,9.7E-15,1
cg00579402,II,19,"5,838,999",F,FUT6,1.4E-05,3.3E-06,4.18,2.9E-05,1.4E-04,3.61E-18,9.9E-15,1
cg04299274,II,17,"25,798,741",F,KSR1,-8.8E-06,1.5E-06,-6.00,1.9E-09,3.1E-08,3.86E-18,1.0E-14,1
cg20897136,II,10,"74,034,667",R,DDIT4,-1.1E-05,2.1E-06,-5.31,1.1E-07,1.1E-06,3.86E-18,1.0E-14,1
cg24715735,II,19,"35,531,403",F,HPN,3.3E-06,1.3E-06,2.41,0.0160,0.0295,4.02E-18,1.1E-14,1
cg10717312,I,2,"241,976,244",F,SNED1,1.7E-05,4.0E-06,4.27,1.9E-05,1.0E-04,4.67E-18,1.3E-14,1
cg18216249,II,12,"48,100,805",F,RPAP3,-6.8E-06,1.5E-06,-4.56,5.1E-06,3.2E-05,5.35E-18,1.4E-14,1
cg10691866,II,7,"65,817,282",F,TPST1,-3.0E-05,3.2E-06,-9.47,2.9E-21,2.8E-19,5.38E-18,1.4E-14,1
cg04543273,II,5,"176,758,413",R,,4.1E-06,1.2E-06,3.56,3.7E-04,0.0013,5.39E-18,1.4E-14,1
cg26954197,II,5,"436,816",R,AHRR,6.4E-06,1.5E-06,4.16,3.2E-05,1.6E-04,5.55E-18,1.5E-14,1
cg24323726,II,3,"111,314,186",R,ZBED2;CD96,-7.5E-06,1.3E-06,-5.80,6.7E-09,9.3E-08,5.72E-18,1.5E-14,1
cg06901890,II,9,"132,803,508",R,FNBP1,-1.1E-05,1.7E-06,-6.07,1.3E-09,2.2E-08,6.28E-18,1.6E-14,1
